CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.1521518972   2.7711317835   0.8250365387  -0.0709519277   0.1833774649
   3.1513635983   2.7717408774   0.8251123666  -0.0719491918   0.1845192328
   3.1505675372   2.7723477134   0.8251901011  -0.0729463127   0.1856597709
   3.1497638171   2.7729518499   0.8252697385  -0.0739432868   0.1867988439
   3.1489525502   2.7735526903   0.8253512811  -0.0749401107   0.1879361600
   3.1481338396   2.7741497695   0.8254347241  -0.0759367806   0.1890715012
   3.1473077914   2.7747425628   0.8255200644  -0.0769332931   0.1902046344
   3.1464745113   2.7753305330   0.8256072985  -0.0779296450   0.1913353342
   3.1456341052   2.7759131300   0.8256964224  -0.0789258328   0.1924633818
   3.1447866788   2.7764897907   0.8257874318  -0.0799218534   0.1935885656
   3.1439323374   2.7770599384   0.8258803221  -0.0809177034   0.1947106808
   3.1430711861   2.7776229822   0.8259750885  -0.0819133797   0.1958295287
   3.1422033300   2.7781783170   0.8260717258  -0.0829088793   0.1969449174
   3.1413288736   2.7787253225   0.8261702289  -0.0839041989   0.1980566607
   3.1404479211   2.7792633634   0.8262705923  -0.0848993357   0.1991645786
   3.1395605800   2.7797918374   0.8263728130  -0.0858942865   0.2002684735
   3.1386669474   2.7803099829   0.8264768810  -0.0868890483   0.2013682202
   3.1377671294   2.7808171635   0.8265827935  -0.0878836185   0.2024636319
   3.1368612285   2.7813126729   0.8266905446  -0.0888779939   0.2035545533
   3.1359493442   2.7817957783   0.8268001280  -0.0898721718   0.2046408469
