CREATION_DATE            =      2018-05-27T22:26:32
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L2
ORBIT NUMBER             =      321
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.1229462567   3.3003177471   1.1644508428  -0.1126083157  -0.2025041152
   3.1222865797   3.2980687329   1.1641248168  -0.1135549221  -0.2030009398
   3.1216231969   3.2957896053   1.1637951521  -0.1145002829  -0.2034946148
   3.1209561504   3.2934799354   1.1634618392  -0.1154443810  -0.2039850598
   3.1202854818   3.2911392705   1.1631248706  -0.1163871973  -0.2044722070
   3.1196112387   3.2887671923   1.1627842343  -0.1173287131  -0.2049559503
   3.1189334632   3.2863632256   1.1624399227  -0.1182689083  -0.2054362232
   3.1182521991   3.2839268949   1.1620919259  -0.1192077637  -0.2059129473
   3.1175674876   3.2814576556   1.1617402355  -0.1201452595  -0.2063860614
   3.1168793781   3.2789551185   1.1613848386  -0.1210813758  -0.2068554552
   3.1161879130   3.2764187155   1.1610257265  -0.1220160913  -0.2073210682
   3.1154931364   3.2738479157   1.1606628884  -0.1229493857  -0.2077828242
   3.1147950931   3.2712421752   1.1602963134  -0.1238812379  -0.2082406477
   3.1140938323   3.2686010102   1.1599259883  -0.1248116264  -0.2086944383
   3.1133893912   3.2659237042   1.1595519053  -0.1257405286  -0.2091441691
   3.1126818179   3.2632097299   1.1591740499  -0.1266679239  -0.2095897426
   3.1119711587   3.2604584822   1.1587924100  -0.1275937885  -0.2100310840
   3.1112574581   3.2576692993   1.1584069731  -0.1285180996  -0.2104681249
   3.1105407638   3.2548416083   1.1580177247  -0.1294408338  -0.2109007805
   3.1098211212   3.2519747157   1.1576246515  -0.1303619666  -0.2113289813
   3.1090985767   3.2490679408   1.1572277389  -0.1312814738  -0.2117526536
   3.1083731767   3.2461205844   1.1568269719  -0.1321993302  -0.2121717235
   3.1076449722   3.2431320337   1.1564223337  -0.1331155102  -0.2125860956
   3.1069140030   3.2401013396   1.1560138104  -0.1340299871  -0.2129957372
   3.1061803204   3.2370278538   1.1556013841  -0.1349427350  -0.2134005499
   3.1054439706   3.2339107722   1.1551850364  -0.1358537259  -0.2138004660
   3.1047050032   3.2307493008   1.1547647495  -0.1367629314  -0.2141954065
   3.1039634662   3.2275426097   1.1543405042  -0.1376703227  -0.2145852955
   3.1032194088   3.2242898458   1.1539122806  -0.1385758700  -0.2149700569
   3.1024728726   3.2209899619   1.1534800589  -0.1394795428  -0.2153496507
   3.1017239214   3.2176423758   1.1530438152  -0.1403813102  -0.2157239286
   3.1009725993   3.2142460057   1.1526035286  -0.1412811387  -0.2160928461
   3.1002189564   3.2107998911   1.1521591751  -0.1421789960  -0.2164563244
   3.0994630440   3.2073030467   1.1517107303  -0.1430748475  -0.2168142831
   3.0987049140   3.2037544571   1.1512581687  -0.1439686581  -0.2171666413
   3.0979446238   3.2001531684   1.1508014618  -0.1448603912  -0.2175132882
   3.0971822170   3.1964979326   1.1503405860  -0.1457500085  -0.2178541955
   3.0964177469   3.1927876536   1.1498755103  -0.1466374731  -0.2181892703
   3.0956512759   3.1890213188   1.1494062033  -0.1475227440  -0.2185183891
   3.0948828562   3.1851976937   1.1489326348  -0.1484057791  -0.2188414823
   3.0941125432   3.1813155647   1.1484547717  -0.1492865361  -0.2191584603
   3.0933403922   3.1773736591   1.1479725803  -0.1501649704  -0.2194692401
   3.0925664644   3.1733707443   1.1474860242  -0.1510410363  -0.2197737113
   3.0917908275   3.1693057137   1.1469950665  -0.1519146856  -0.2200717389
   3.0910135144   3.1651765924   1.1464996707  -0.1527858690  -0.2203633523
   3.0902346080   3.1609824694   1.1459997931  -0.1536545364  -0.2206483417
   3.0894541662   3.1567217792   1.1454953942  -0.1545206325  -0.2209266346
   3.0886722513   3.1523930252   1.1449864296  -0.1553841032  -0.2211981263
   3.0878889323   3.1479947131   1.1444728530  -0.1562448907  -0.2214626894
   3.0871042697   3.1435251967   1.1439546203  -0.1571029344  -0.2217202492
   3.0863183329   3.1389828653   1.1434316801  -0.1579581741  -0.2219706749
   3.0855311931   3.1343660485   1.1429039822  -0.1588105434  -0.2222138482
   3.0847429214   3.1296730129   1.1423714734  -0.1596599756  -0.2224496483
   3.0839535915   3.1249019758   1.1418340987  -0.1605064000  -0.2226779506
   3.0831632792   3.1200511062   1.1412918009  -0.1613497436  -0.2228986256
   3.0823720614   3.1151185125   1.1407445201  -0.1621899300  -0.2231115438
   3.0815800209   3.1101022605   1.1401921961  -0.1630268791  -0.2233165604
   3.0807872385   3.1050003347   1.1396347637  -0.1638605086  -0.2235135375
   3.0799938016   3.0998106897   1.1390721574  -0.1646907309  -0.2237023238
   3.0791997965   3.0945311817   1.1385043080  -0.1655174558  -0.2238827747
   3.0784053159   3.0891596361   1.1379311446  -0.1663405883  -0.2240547295
   3.0776104546   3.0836938057   1.1373525935  -0.1671600294  -0.2242180252
   3.0768153111   3.0781313808   1.1367685786  -0.1679756756  -0.2243724928
   3.0760199878   3.0724699864   1.1361790210  -0.1687874185  -0.2245179570
   3.0752245842   3.0667069988   1.1355838377  -0.1695951449  -0.2246542618
   3.0744292254   3.0608402720   1.1349829490  -0.1703987348  -0.2247811684
   3.0736340184   3.0548670754   1.1343762645  -0.1711980675  -0.2248985007
   3.0728390821   3.0487846521   1.1337636953  -0.1719930102  -0.2250060709
   3.0720445460   3.0425904565   1.1331451521  -0.1727834272  -0.2251036544
   3.0712505381   3.0362816314   1.1325205385  -0.1735691780  -0.2251910372
   3.0704571967   3.0298553440   1.1318897583  -0.1743501120  -0.2252679924
   3.0696646646   3.0233086792   1.1312527115  -0.1751260735  -0.2253342845
   3.0688730923   3.0166386653   1.1306092967  -0.1758968986  -0.2253896692
   3.0680826421   3.0098424393   1.1299594138  -0.1766624163  -0.2254338788
   3.0672934659   3.0029165389   1.1293029457  -0.1774224507  -0.2254666753
   3.0665057498   2.9958580288   1.1286397957  -0.1781768045  -0.2254877779
   3.0657196670   2.9886636024   1.1279698432  -0.1789252910  -0.2254968912
   3.0649354163   2.9813301255   1.1272929897  -0.1796676950  -0.2254937412
   3.0641531865   2.9738541557   1.1266091096  -0.1804038128  -0.2254780147
   3.0633732366   2.9662355618   1.1259182263  -0.1811334072  -0.2254495189
   3.0625955808   2.9584635669   1.1252198532  -0.1818563734  -0.2254076709
   3.0618208638   2.9505413838   1.1245143405  -0.1825721073  -0.2253522995
   3.0610488464   2.9424607983   1.1238011334  -0.1832808046  -0.2252830086
   3.0602962241   2.9343948203   1.1230956207  -0.1839671969  -0.2252014819
   3.0595319473   2.9260084735   1.1223683892  -0.1846596944  -0.2251037449
   3.0587853642   2.9176150361   1.1216469689  -0.1853315886  -0.2249933018
   3.0580309059   2.9089219443   1.1209063218  -0.1860058957  -0.2248659720
   3.0572908344   2.9001782720   1.1201678708  -0.1866626652  -0.2247250374
   3.0565476276   2.8911711939   1.1194137794  -0.1873174347  -0.2245667846
   3.0558154149   2.8820662501   1.1186579508  -0.1879577623  -0.2243936054
   3.0550844108   2.8727316132   1.1178898488  -0.1885920805  -0.2242029651
   3.0543619965   2.8632557489   1.1171167767  -0.1892139939  -0.2239961548
   3.0536438592   2.8535752477   1.1163336907  -0.1898271963  -0.2237714607
   3.0529333885   2.8437260208   1.1155437649  -0.1904287015  -0.2235294762
   3.0522290574   2.8336836420   1.1147448960  -0.1910198948  -0.2232689635
   3.0515324746   2.8234608083   1.1139383661  -0.1915993271  -0.2229900570
   3.0508433559   2.8130458263   1.1131233457  -0.1921672171  -0.2226920611
   3.0501624901   2.8024426056   1.1123002413  -0.1927228902  -0.2223747143
   3.0494901410   2.7916472945   1.1114688404  -0.1932661107  -0.2220375292
   3.0488268409   2.7806601480   1.1106292503  -0.1937964247  -0.2216801479
   3.0481729980   2.7694804364   1.1097814490  -0.1943135079  -0.2213021299
   3.0475291114   2.7581082329   1.1089255139  -0.1948169412  -0.2209031315
   3.0468956333   2.7465435779   1.1080614798  -0.1953063699  -0.2204827545
   3.0462730522   2.7347870880   1.1071894365  -0.1957814051  -0.2200406694
   3.0456618433   2.7228397423   1.1063094697  -0.1962416859  -0.2195765268
   3.0450624644   2.7107038065   1.1054216963  -0.1966869011  -0.2190899858
   3.0444754420   2.6983806998   1.1045262727  -0.1971166369  -0.2185807971
   3.0439012038   2.6858731438   1.1036233180  -0.1975306267  -0.2180486461
   3.0433402281   2.6731846944   1.1027130365  -0.1979285557  -0.2174933203
   3.0427929940   2.6603185886   1.1017956203  -0.1983101103  -0.2169145823
   3.0422598978   2.6472801029   1.1008712740  -0.1986751083  -0.2163121968
   3.0417415229   2.6340700625   1.0999402657  -0.1990230340  -0.2156862424
   3.0412380887   2.6206965261   1.0990027436  -0.1993539800  -0.2150363315
   3.0407500980   2.6071653775   1.0980590939  -0.1996676319  -0.2143625288
   3.0402779152   2.5934816961   1.0971095558  -0.1999638232  -0.2136647690
   3.0398218861   2.5796520047   1.0961544272  -0.2002424322  -0.2129430459
   3.0393823350   2.5656832307   1.0951940226  -0.2005033641  -0.2121973930
   3.0389595720   2.5515822767   1.0942286654  -0.2007465319  -0.2114278937
   3.0385539139   2.5373557273   1.0932586811  -0.2009718317  -0.2106346488
   3.0381654878   2.5230128825   1.0922843917  -0.2011794190  -0.2098177798
   3.0377945685   2.5085613215   1.0913061751  -0.2013692395  -0.2089774952
   3.0374413340   2.4940086241   1.0903243563  -0.2015413431  -0.2081139933
   3.0371059089   2.4793634236   1.0893392775  -0.2016958541  -0.2072274916
   3.0367884256   2.4646336469   1.0883512864  -0.2018328632  -0.2063182726
   3.0364889033   2.4498285059   1.0873607166  -0.2019526057  -0.2053866153
   3.0362074966   2.4349548801   1.0863679116  -0.2020551169  -0.2044328283
   3.0359442402   2.4200203106   1.0853731798  -0.2021405686  -0.2034572381
   3.0356989988   2.4050350683   1.0843768375  -0.2022093666  -0.2024601636
   3.0354718045   2.3900061998   1.0833792069  -0.2022616579  -0.2014419991
   3.0352625992   2.3749414316   1.0823805750  -0.2022977054  -0.2004030730
   3.0350712786   2.3598486487   1.0813812249  -0.2023178112  -0.1993437643
   3.0348977709   2.3447345658   1.0803814271  -0.2023222150  -0.1982644629
   3.0347419068   2.3296070878   1.0793814368  -0.2023112817  -0.1971655265
   3.0346035845   2.3144722738   1.0783814965  -0.2022852594  -0.1960473528
   3.0344826332   2.2993368619   1.0773818352  -0.2022444799  -0.1949103193
   3.0343788364   2.2842078890   1.0763826670  -0.2021893275  -0.1937547793
   3.0342920848   2.2690900880   1.0753841891  -0.2021200223  -0.1925811025
   3.0342222214   2.2539895932   1.0743865935  -0.2020368784  -0.1913895061
   3.0341688624   2.2389126025   1.0733900560  -0.2019403800  -0.1901806552
   3.0341318957   2.2238634466   1.0723947228  -0.2018307567  -0.1889547230
   3.0341111152   2.2088468835   1.0714007496  -0.2017083157  -0.1877120567
   3.0341062962   2.1938675240   1.0704082739  -0.2015733790  -0.1864529824
   3.0341171927   2.1789299997   1.0694174196  -0.2014262886  -0.1851778080
   3.0341435982   2.1640378918   1.0684282966  -0.2012673234  -0.1838868396
   3.0341852997   2.1491948121   1.0674410124  -0.2010967661  -0.1825803758
   3.0342420392   2.1344048202   1.0664556646  -0.2009149521  -0.1812586963
   3.0343136272   2.1196704937   1.0654723317  -0.2007221176  -0.1799220719
   3.0343998363   2.1049950976   1.0644911004  -0.2005185468  -0.1785707742
   3.0345004127   2.0903819701   1.0635120402  -0.2003045507  -0.1772050464
   3.0346151654   2.0758332154   1.0625352057  -0.2000803535  -0.1758251222
   3.0347439022   2.0613510680   1.0615606618  -0.1998461790  -0.1744312472
   3.0348863937   2.0469381912   1.0605884673  -0.1996022943  -0.1730236493
   3.0350424343   2.0325966337   1.0596186630  -0.1993489324  -0.1716025325
